date,judul,username,tweet,plot,akting,direktor
02/09/2022 11:45,pursuit,ThNextPresident,38 the pursuit of happyness 2006 filmnya bagus menginspirasi sekali menyentuh pokoknya tapi yang jadi pertanyaan itu si linda gimana ya soalnya pas difilm cuman cerita kalau erick jadi kaya dan berhasil tapi ga ada tentang linda apakah doi balik hmm sksk 9 10 ,1,0,0
15/06/2022 20:19,pursuit,goesdut,nice view ini kayak gabungan pursuit of happyness dan keluarga cemara kalikan dua ngenesnya jadilah sebuah film dengan cerita yang meremas hati tanpa ampun ,1,0,0
18/03/2022 22:38,pursuit,injunepaws,suka deh liat aktingnya jung hae in di film atau series apapun penasaran banget sama kelanjutan cerita dari series deserter pursuit semoga ada season 2 nya ,1,1,0
16/12/2021 22:11,pursuit,diplovemat,nonton cold pursuit 2021 jadi makin yakin kalau liam nesson aktor yg karakternya paling menyedihkan secara cerita di genre action punya anak cowok dibunuh punya anak cewek diculik naik kereta dituduh ngebunuh naik pesawat dituduh terroris ,1,1,0
02/10/2021 05:54,pursuit,Guy4skFew,children of heaven 1997 dan the pursuit of happiness 2006 adalah dua film yang memang menempatkan anak di sentral cerita kalau yang dua lagi godfather 1972 dan the shining 1980 film bagus yang perlu dimasukin dalam list apapun tinggal cari aja scene yg ada anaknya ,1,0,0
05/09/2021 21:40,pursuit,minkyukya,2021 cerita ttg tim deserter pursuit yg bertugas mencari org2 yg kabur dr wamil drama ttg sisi gelap keadaan wamil di korsel udah jd rahasia umum kyknya bullying dan senioritas disana tuh ke trigger bgt emosinya nntn drama ini tuh ,1,0,1
05/09/2021 16:36,pursuit,hamnisrd,deserter pursuit boleh coba ditonton cerita nda lempeng aktornya ganteng ,1,1,0
05/09/2021 13:12,pursuit,mojokdotco,pernah nggak bayangin netflix bikin drakor dengan latar cerita militer yang nggak dominan cerita cintanya nah drakor deserter pursuit ini jadi jawabannya ,1,1,0
21/07/2021 22:42,pursuit,beeyy12, pursuit of happyness instant family nanti kita cerita tentang hari ini film keluarga suka bikin sedih ,1,0,0
11/07/2021 01:36,pursuit,HeiiiSasha, byk sih lupa harus inget dl btw ini film yg cerita di dlm nya byk kata2 yg bermakna kan the pursuit of happyness udah dong nangis jg aku itu ,1,0,0
25/06/2021 14:35,pursuit,fiddlestjck, aku sukaan fatherhood si krn lebih nyeritain gmn susahnya jd ayah udah gt banyak lawaknya jg ahahaha tp yg the pursuit of happyness jg bagus kok tp ini lebih cerita ke perjuangan ayahnya nyari kerja gt,-1,0,0
18/06/2021 20:57,pursuit,catsandkatzen,orang bisa mencari peruntungan ke vegas namun tidak ada kota yang mampu memberikan cerita getir pahit dan manisnya nasib seseorang berubah dalam hidupnya 180 derajat selain new york kalo kata orang amerika jaman dahulu from rags to riches apapun arti pursuit of happiness ,0,0,0
20/01/2021 13:19,pursuit,tramadanur,adegannya terlalu dikit juga kurang substansi dibandingkan cold pursuit pun masih lebih menarik film itu karena setiap pembunuhan yang ia lakukan terasa satisfying dan berdampak besar ke cerita endingnya juga terasa maksa saat korelasi antara keinginan menyerahkan diri,-1,0,0
28/11/2020 10:39,pursuit,cicardian, 1 the pursuit of happyness ini cerita tentang bapak sama anak ngajarin pengorbanan seorang bapak yg gak keliatan sama anaknya 2 collateral beauty ini cerita tentang seorang ayah yang kehilangan anaknya ngajarin kita gimana cara untuk ikhlas dan berdamai dgn diri sendiri,1,0,0
13/08/2020 14:58,pursuit,merasukimuu,22 the pursuit of happyness ini genre nya drama dan film nya awalnya aku agak bosen gitu karena aku setia dan ga milih untuk berhenti nonton akhirnya aku putuskan untuk nonton ampe abis feel nya kerasa bgt dari cerita pengorbanan orang tua demi anak nya gitu ,-1,1,0
30/04/2020 14:48,pursuit,GRESAIDS,3 the pursuit of happyness ber setting kota san francisco california di tahun 1981 cerita ini terinspirasi dari kisah nyata chris gardner seorang pialang saham yang dulunya adalah salesman diperankan oleh will smith dan anaknya sendiri jaden smith ,0,1,1
31/03/2020 08:22,pursuit,garupichan,pursuit of happyness gendre motivasi cerita ttg chris gardner bagus memotivasi tapi endingnya kurang bagus ngak ada hasil langsungnya dia dalam gambar cuma diisi tulisan aja ,-1,0,-1
13/09/2019 18:29,pursuit,muniyo_id,1 pursuit of happyness cerita mengenai seorang pria dengan anaknya yang hidup susah tanpa memiliki rumah homeless sampai akhirnya bisa sukses dan berhasil karena kesabaran dan kerja kerasnya ,1,0,0
05/08/2019 21:02,pursuit,aihtafff, miracle in cell no 7 nntn cuplikan endingnya doang bikin padahal kagatau cerita fullnya gimana pursuit of happyness sedih terharu tapi aku ganangis a long visit korea seharusnya sedih tapi kaya ada plotholenya jadi gasedih trs sang pemimpi bikin terharu sekian ,-1,0,-1
02/06/2019 09:45,pursuit,andhikahesel, 2019 absurditas cerita dan komedi gelap menjadi pembeda antara cold pursuit dengan film liam neeson lainnya tidak semua komedinya hit tapi cukup menyenangkan melihat liam berada di tengah tengah situasi absurd ,-1,1,0
16/05/2019 19:12,pursuit,ajikesumaa,cold pursuit 2019 mengisahkan tentang seorang petugas pembersih salju liam neeson yang balas dendam karena anaknya yang dibunuh oleh bandar narkoba cerita yang tidak terfokus jokes yang salah penempatan dan scoring yang tidak selalu tepat menjadi kekurangannya c ,-1,0,-1
30/03/2019 21:15,pursuit,BoxUneg,sahabat pasti sudah tau dong film yang satu ini the pursuit of happyness cerita tentang perjuangan seorang ayah yang mencintai dan harus membesarkan anaknya yang masih kecil dalam kondisi tidak punya uang tidak punya rumah dan tidak punya pekerjaan ,1,0,0
27/02/2019 23:09,pursuit,mass_umam,18 cold pursuit 2019 paragonxxi seorang ayah yg ingin balas dendam atas kematian anaknya yg dibunuh oleh mafia narkoba seru kematian dan pembunuhan datang silih berganti di akhir cerita aku kira akan terjadi pertarungan yg sangat sengit tapi ternyata cuman gitu doang ,-1,0,-1
24/02/2019 23:06,pursuit,innamuul,cold pursuit feb satisfying banget buat memenuhi emosi penonton ga banyak drama film ini ngajarin kita cara balas dendam dengan singkat padat dan tanpa basa basi balas dendam tokoh utama tanpa sengaja menyebabkan perang antar kartel bikin cerita makin asik 9 10,1,0,0
19/02/2019 21:23,pursuit,okkyoctora_,liam neeson dgn film anehnya yg greget tdk se badass ketika bermain taken liam neeson membawa film cold pursuit mjd kehidupannya yg sudah menua tenang tapi trengginas loncatan2 kamera untuk menggambarkan cerita mengganggu di awal2 tapi menjadi unik dan menarik pada akhirnya ,0,-1,1
11/02/2019 20:50,pursuit,dianmartha,pursuit of happiness juga cerita nya membekas gitu di ingatan dan perasaan abis beneran cerita nya menyentuh en sedih gitu,1,0,0
26/10/2018 16:53,pursuit,cicardian,16 the pursuit of happiness ini buat yg suka sama drama keluarga aku rekomendasiin film ini tapi aku nggak tanggung jawab kalau kalian mewek ini cerita ttg pengorbanan ayah ke anaknya pemainnya will smith sama jaden smith kebayang chemistrynya kayak apa kan ,1,1,0
25/12/2013 15:34,pursuit,xmrazkhanx,sedih gila cerita pursuit of happyness ,1,0,0
03/04/2013 22:07,pursuit,mela_milo,mirip2 pursuit of happiness syedih rt tampan tailor film dengan nama dan cerita yang unik ,1,1,0
06/01/2013 01:53,pursuit,tunkuf_,cerita the pursuit of happiness ni sumpah sedih hm ,1,0,0
05/01/2013 23:44,pursuit,ammarismail_,pursuit of happyness satu cerita yg sedih ,1,0,0
24/12/2012 07:23,pursuit,afhitw,emang bagus ri rt sumpah bagus banget cerita pursuit of happines ,1,0,1
23/12/2012 22:20,pursuit,yohanes_hans, the pursuit of happyness one of the best movie ever made sangat menyentuh dg kwalitas cerita yg sangat berbobot keren bikin mewek d,1,0,1
23/12/2012 21:18,pursuit,UniknyaDavid,film the pursuit of happiness emang keren n gak membosankan y jln cerita ama pemainnya keren 33 keren deh ,1,1,0
23/12/2012 20:54,pursuit,AUDIOJET, the pursuit of happyness di adlh film bagus dr cerita nyata manusia hebat selaras dgn konsep lagu semua ada seninya ,1,0,1
22/11/2012 17:39,pursuit,MZhafirNaim,the pursuit of happiness cerita yang sedih bagi aku ,1,0,0
20/11/2012 20:54,pursuit,awangga,the pursuit of happiness wallpaper saya masih kagum dengan film will smith yang satu ini cerita yang menarik d ,1,1,0
16/11/2012 10:25,pursuit,_fahmiak,pursuit of happines sungguh cerita yg sangat mengharukan,1,1,1
10/11/2012 18:07,pursuit,jodimarbunn,nilai kehidupan yg diceritakan di film the pursuit of happiness memang bagus kali salut sama yg buat cerita,1,0,1
02/11/2012 22:16,pursuit,rasheedheree,menonton cerita pursuit of happiness sedih gilaa kehidupan beliau ,1,0,0
21/05/2012 00:07,pursuit,dikmansaputra,pursuit of happynes itu film yg diangkat dr cerita nyata supaya kita menghargai nilai2 kehidupan yg ada dan masih banyak maknanya ,1,0,0
21/05/2012 00:05,pursuit,nurulhudaAl,the pursuit of happyness verry nice y cerita yg menarik dan memotivasi ,1,0,1
25/12/2011 23:25,pursuit,nidafadhi, the pursuit of happiness bagus bgt teh bukan masalah cinta2an ko cerita kerja keras seorg ayah pgn bahagiain anakny ,1,0,0
25/12/2011 21:03,pursuit,ariihapsa,now ada the pursuit of happiness lohh ini cerita baguss banget dijamin ,1,0,0
25/12/2011 20:50,pursuit,denymasatu,agak sdikit gk ngerti gw gus awal cerita niy film rt will smith pursuit happiness trans tv sangat menginspirasi,-1,0,1
23/10/2011 14:57,pursuit,pijjeyparamitha,kaga ngarti nih nonton the pursuit of happyness kok kyk lg dger cerita gni yak,-1,0,0
17/09/2011 16:08,pursuit,adhee_cornelius,pursuit the happiness pgn nntn lagi cerita nya mengajarkan banyak hal ttg kehidupan ,1,0,1
18/07/2011 22:19,pursuit,evnhrtln, the pursuit of happynes mengharukan bet tuh cerita bapak yg gak pernah nyerah ,1,0,0
17/03/2011 19:20,pursuit,nugiknn,the pursuit of happyness cerita yg cukup bagus untuk di baca di wikipedia,1,0,0
30/12/2010 21:22,pursuit,wahidmasrukan,pursuit of happiness adalah film lama yg sangat inspiratif hati anda akan dilunakkan dgn tangisan air mata yg mengalir dari cerita film ini,1,0,0
18/10/2010 21:05,pursuit,yudhadana, pursuit of happines sedih cerita nya sampe meneteskan air mata skrng lg lanjut the shawshank redemption tentang kehidupan jg,1,0,0
08/09/2021 21:07,pursuit,kdrama_menfess,deserter pursuit kdm latar tahun 2014 menyikapi serius bobroknya sistem dunia militer bullying senioritas balas dendam turun temurun plotnya terus2an mempertanyakan letak keadilankemanusiaan dikemas dengan dialog super cerdas dan menyindir jung hae cont ,1,0,0
01/08/2021 17:23,pursuit,taejusyi, the pursuit of happyness didasarkan pada kisah nyata chris gardner dan putranya film ini berfokus pada kelangsungan hidup tunawisma dari keduanya film ini penuh dengan dialog inspiratif saat ayah dan anak tersebut mencari kehidupan yang lebih baik ,1,0,0
05/06/2013 21:35,pursuit,indraherma_1, pursuit of happiness gak terlalu fokus sih tapi ada dialog yg aku suka,1,0,0
20/05/2012 22:19,pursuit,andriaye,sbtulnya anak chris gardner dikenyataan sehrsnya msh bayi dibuat agak lbh dewasa spy lbh mudah membuat dialog di film pursuit of happyness,0,0,1
03/09/2022 14:14,pursuit,AHeadFullOfD, episode paling gw suka sih groot s pursuit karena liat groot joget gemoyy bngt terus ending nya ga terduga sih wkwk jahat bngt groot tpi ttp ngakak si grootnya ga ada akhlak ,1,0,1
24/07/2022 17:12,pursuit,argheng,kelar nonton the pursuit of happyness actingnya will smith emang jempolan gausah diraguin lagi isi plotnya tentang perjuangan seorang bapak bapak buat hidup dan menghidupi anaknya realistis banget tentang kerja keras sampai mau sedih pun gaada waktu untung happy ending ,1,1,0
04/02/2022 21:54,pursuit,firdaus_ltc, 9 10 menceritakan sisi gelap wajib militer di korsel dari sudut pandang tentara deserter pursuit menurut info dampak ini adlh penghapusan divisi oleh ad korsel dgn menyerahkan urusan pada polisi jgn berharap happy ending ya ,0,0,0
12/12/2021 19:53,pursuit,oktaaavvv,cold pursuit 2019 nonton ini karena muncul aja di beranda liam neeson kurang gimanaaa gitu pas ending kurang maksimal endingnya malah white bull vs vikings bukan liam vs vikings 6 10 tapi ya mayanlah tom cakep ,-1,-1,0
18/11/2021 21:40,pursuit,ziliun,5 the pursuit of happyness 2006 satu lagi film lama yg bahas relationship dan perjuangan dengan manis jadi will smith hidup susah banget dan ditinggal ama istrinya lagi kondisi gitu dia harus ngerawat anaknya apa gak makin berat tapi akhirnya happy ending kok 9 10 ,1,0,0
15/11/2021 03:55,pursuit,lusiwrp, finding neverland endingnya sedih banget sih kalo the pursuit of happiness happy ending tapi sepanjang film kaya yang sedih banget gitu liat perjuangan bapaknya ,1,0,0
08/09/2021 22:28,pursuit,elegantpurple_,habis nonton the pursuit of happyness rada stres si pas liat perjalanan hidupnya walopun happy ending tapi kek kurang puas kalo keberhasilannya cuma ditayangin lewat kalimat ,-1,0,-1
31/08/2021 16:54,pursuit,noravenuss,jung haein kalo main yg non romance gausah diraguin banget aktingnya ending deserter pursuit aku aja bisa nangis smpe bersuara sesenggukan aku jrg nangis kek gitu klo nonton ,1,1,0
20/07/2021 12:50,pursuit,inililiboss,pursuit of happiness bener film perjuangan nangis pas ending bapaknya finally dpt pekerjaan buat ngubah hidupnya lebih baik ,1,0,0
25/06/2021 13:26,pursuit,rzkdw28,pursuit of happyness gilasi mennnnn apalagi pas bagian ending scene nya merindiiiing tp kalo yg dimainkan kevin hart belum ku tonton mungkin nanti,1,0,0
18/01/2021 23:14,pursuit,indahwlndr, the pursuit of happyness true story endingnya bagus tapi setiap nntn ulang selalu nangis feet five apart sad ending the fault on a star yg terakhir lala land asli sedih kecewa ah rasanya anjay bngt ,-1,0,0
13/11/2020 01:19,pursuit,rvstaman,rewatch ending the pursuit of happiness selalu ampuh untuk melawan rasa malas,1,0,0
10/11/2020 21:26,pursuit,venussal_, ga sad ending tp filmnya bikin nangis the pursuit of happyness,1,0,0
20/08/2020 23:16,pursuit,kelaparannn,the pursuit of happyness 2006 gila gila gila hampir gak kuat nonton sampe akhir yang diceritain kelamnya kehidupan mulu walaupun gk bikin sesenggukan tapi feelnya dapet bgttt apalagi pas menuju ending whooahhh pecahh will smith juaraaaa ,1,1,0
21/04/2020 16:13,pursuit,halsuhisseo, lalu yang kedua adalah will smith dari the pursuit of happiness yang merupakan life movie ku dan aku ingin memberi 5 bintang film itu ini adalah film yang apapun yang dilalui pasti berakhir happy ending aku ingin menyanyikan lagu dengan pesan sesulit apapun itu ,1,1,0
02/04/2020 23:18,pursuit,rachmatalqadrie,ada yg sdh nonton the banker keren apalagi kisah nyata paling suka film2 begini struggling with life sdh lama sejak pursuit of happiness 1 lagi paling suka ending nya ditutup dengan a place in the sun nya stevie wonder 8 10 for me,1,0,0
12/06/2019 19:16,pursuit,Haerboy, kalau saya masih inget banget adegan ending pursuit of happiness will smith sama jayden keren banget meranin perjuangan ayah dan anak ,0,1,0
03/11/2018 22:45,pursuit,haii_rara, pursuit of hapiness sedih tapi happy ending ,1,0,0
22/05/2018 22:36,pursuit,realAbikaTrader,dalam film the pursuit of happiness ending storynya bahagia kamu tau nggak dalam kisah nyatanya tokoh yang dimaksud dalam film itu bunuh diri di salah satu kamar di new york karena bangkrut dan terlibat hutang yang sangat besar movie vs reality itu berbeda ,1,0,0
15/10/2013 22:23,pursuit,NdrieSmiley, akhirnya si handi ngetwit d kalo yg pursuit of happiness cuma netes satu airmata waktu ending nya sih ane,1,0,0
11/02/2013 09:01,pursuit,bluenmatcha,pursuit of happines film yg bikin org nangis dari tengah2 filmnya sampek ending ,1,0,1
25/12/2012 17:17,pursuit,guztiekaputra, pursuit of happyness film happy ending tentang kehidupan yang paling sedih jalan ceritanya,1,0,1
22/11/2012 15:16,pursuit,murnimustafia,tiap nonton the pursuit of happyness ini pasti terharu d apalagi ngebayangin diangkat dr kisah nyata untung happy ending d,1,0,0
28/08/2012 23:04,pursuit,rahmimimi,pursuit of happiness itu gak usah sampe ending tapi udah bikin mewek ya representasikan hampir seluruh rasa sakit hidup,-1,0,0
20/05/2012 23:17,pursuit,sakhinainsani,setuju daritadi nungguin ending nya gmna d the pursuit of happyness film bagus terharu nontonnya ,1,0,0
20/05/2012 23:02,pursuit,SyaifuddinTeddy,mengharukan beud cuma ending kurang mendramatisir gan rt oo pursuit to hapiness ,-1,0,0
20/05/2012 22:18,pursuit,aldiwicaksono,sedih tp ending kebayar bgt filosofinya rt gk pernah gk sediih klo nntn pursuit of cont ,-1,0,0
25/12/2011 23:11,pursuit,HeriCen,yg ptg maknanya wkkkk ending pursuit of happiness kurang memuaskan,-1,0,0
25/12/2011 22:56,pursuit,nisanae,pesan moral the pursuit of happyness perlu kerjakeras buat dpt kebahagiaan ngelewatin hal yg sedih2 dl baru bisa happy ending ,1,0,0
25/12/2011 22:55,pursuit,ZeZenkk,ending pursuit of happiness kurang memuaskan,-1,0,-1
25/12/2011 22:55,pursuit,andri_littleA, the pursuit of happyness adalah film yg membuat kita memakna hidup hidup itu terkadang sangat berat tapi ending a bkal bahagia,1,0,0
25/12/2011 22:54,pursuit,rahaulia_,the pursuit of happiness ending kurang klimaks kurang gimanaaa gitu jadinya pdhl ditengah film banyak adegan yg menguras aer mata ,-1,0,0
25/12/2011 21:43,pursuit,AdnanKityro,itu the pursuit of happyness kalo di tonton srius bikiin berkaca jg yak ending nya ,1,0,0
08/12/2011 21:07,pursuit,zulvikar_am,film yang pantas ditonton the pursuit of happyness tapi ending ny agak sedikit tanggung ,-1,0,0
01/09/2021 07:48,pursuit,christiana_dewi,deserter pursuit bagus recommended storyline dan acting solid adegan bullying di militer dan dampak mentalnya ke korban bikin darah mendidih kudu trigger warning buat yg mau nonton,1,1,0
27/08/2021 22:46,pursuit,cacaramo,deserter pursuit lumayan juga nih keren kirain bakal berat taunya engga comedynya fresh salfok sama backsoundnya sih asik bet terus acting pemainnya superb apalagi haein oppa yoksi bagus,1,0,0
12/09/2020 15:05,pursuit,oneofigot7__, the pursuit of happyness bercerita tentang seorang ayah yg pantang menyerah gigih dan tbh cerdas gila sesalut itu aku sama dia yg terus bertahan apalagi ga nyerah buat bahagiain anaknya will smith juga gausah diragukan acting dan chemistry sm anaknya sendiri jaden ,0,1,0
19/02/2020 23:36,pursuit,_KeithUno, pursuit of happiness acting nya will smith keren banget disini disini juga jaden smith debut jadi aktor ,0,1,0
21/01/2020 11:31,pursuit,iqbon,the pursuit of happiness 2006 ketemunya gak sengaja karena lagi seneng sama acting si will smith di film lainnya film yg ngajarin ttg posisi terendah dalam hidup bukanlah alasan untuk berhenti berjuang dan menyesali motivasi banget untuk ngelakuin apa aja dengan sungguh2 ,0,1,0
17/11/2019 21:19,pursuit,KelasPeduli,selesai nntn film the pursuit of happiness kl utk film sedih mgkn bnyk film yg jauh lbh sedih ya tp hal yg bikin menyentuh itu krn aku merasa mirip dlm bbrp aspek hidup dgn chris gardner will smith ditambah acting will yg mampu menularkan kesedihannya ke penonton,-1,1,0
03/05/2019 15:40,pursuit,ReviewIkutSuka,22 the pursuit of happiness filem yg diinspirasikan dari kisah benar tentang chris gardner ini adalah salah satu filem favourite admin powerful acting dari will smith dgn anaknya jaden sarat dengan pesan kehidupan dan memang menyentuh jiwa sangat direkomendasikan,0,1,0
21/02/2019 10:47,pursuit,skinbrotha,mau nonton cold pursuit gak taunya liam neeson yang jadi aktor berbicara tentang keterlibatan liam neeson dalam industri film walaupun dikata udah tua tapi acting nya kacau sih masih keren banget kalok dia yang main jadi inget taken 1 2 3nonstop sayang gak da taken 4 ,0,1,0
02/08/2013 15:52,pursuit,AkbarHaka19,film pursuit oh happines nya will smith storyline yg kuat ditambah acting yg keren komplit,1,1,0
08/06/2013 06:35,pursuit,dkpamungkas,padahal acting jaden smith cukup memukau di dibandingkan di karate kid tp emang masi bagusan di pursuit of happyness sih,0,1,0
23/12/2012 21:05,pursuit,rosylucky,iyaaaahhh pursuit of happines rt will smith pancen keren kalo acting ini ya film favoritku di transtv maen,0,1,0
11/06/2012 21:48,pursuit,fasyaladia,the pursuit of happy ness gila bgt bagus bgt will smith kenapa bisa sinting bagus gitu acting nya yaiyalah will smith aduh masterpiece ,1,1,0
20/05/2012 22:45,pursuit,lintangnirwanto,film the pursuit of happyness ya te duh film yg ditranstv sedih bgt yaampun o jaden smith pol bgt acting sama bapaknya ,0,1,0
14/04/2012 01:58,pursuit,AbiPKU,acting uda wkt di toilet umum sm anaknya itu keren bgt kak pursuit of happiness ,0,1,0
13/01/2012 22:55,pursuit,ayungbukanariel,anaknya will smith emang jago acting udah keliatan dari film pursuit of happyness,0,1,0
25/12/2011 23:12,pursuit,dudu2rif,best drama best acting rt sedih ya rt the pursuit of happynes will smith bareng anaknya keren filmnya ,0,1,0
25/12/2011 22:24,pursuit,TeukuRyan,acting will smith emang gila bagusnya sangat2 menjiwai dinonton brpa x pun ttp keren the pursuit of happyness,0,1,0
13/03/2011 18:31,pursuit,NanAndriana, aku suka kl dia acting sedih desperate sedih2 tp ttp cool gt loh ky pursuit of happiness 7pounds mantap actingnya,0,1,0
10/03/2011 18:09,pursuit,thiyyaaa,acting nya jaden di pursuit of happiness lho apik nge pol karakternya juga cocok sama dia,0,1,0
21/06/2010 18:32,pursuit,RealCarolPayne,acting jaden pling bgus di pursuit of happyness dan yg pling kren di karate kid,0,1,0
14/06/2010 00:06,pursuit,LouisSudarso,acting jaden di pursuit of happines jauh lbh gue suka yg sekarang memang improve tp style nya bener2 style bapaknya semua abis2an ,0,1,0
08/05/2010 21:28,pursuit,sheylola,pursuit of happiness rt hehe klo acting sedih dpt bgt dia feelnya gw jg jd ikutan terharu t t rt will smith,0,1,0
29/07/2022 22:20,pursuit,ciaenemy, gak best tapi lu wajib nonton pursuit of happyness sih best banget chemistry will smith ama jaden smith gak bakal nyesel ampe gw menyayangkan jaden gak bener bener fokus di dunia akting,0,1,0
07/05/2022 16:33,pursuit,cahyaamaliyah, kenapa jadi dewi persik sih btw d p itu singkatan dari deserter pursuit menceritakan tentang pengejaran para tentara yg desersi dengan alasan beragam story line sampai akting pemainnya sangat kuat endingnya bikin hati mencelos ,1,1,0
12/12/2021 21:52,pursuit,stfchnts,actingnya bagus tapi ceritanya agak sedikit lucu terakhir mau klimaks tapi gajadi gitu trus anak kecil ngendarain buldoser entahlah yg penting akting bapak liam neeson keren cold pursuit ,-1,1,0
11/12/2021 18:01,pursuit,daldalhanmiso,ngide banget nonton ulang the pursuit of happyness sampe sekarang masih amaze banget sama akting jaden smith dulu as christoper gemes huhu,0,1,0
29/08/2021 10:07,pursuit,dwirintani,dp deserter pursuit lagi serial netflix yang bikin gue speechless selama nonton gak tau bener apa nggak tapi senioritas perundungan penindasan semoga tidak ada lagi dan gak ada yg terluka apalagi jadi trauma akting jung hae in di sini beda dari drama dia yg lain ,0,1,0
28/08/2021 12:28,pursuit,kdrama_menfess, d p deserter pursuit buat yg masih bisa nonton adegan bully1ing ini highly recomended ya akting semua cast nya bagus banget plot nya juga oke dari awal sampe akhir yg sering lihat jung hae in di romance ayo nonton dia disini dan bakal merinding sih keren cont ,1,1,0
27/07/2019 18:29,pursuit,gandasatria,minggu kemarin nonton dan memang berhasil bikin mata berkaca2 ahahaha selama ini cuman pernah nangis nonton satu film yaitu the pursuit of happiness will smith sekarang bertambah satu avengers end game robert downey jr tangisku menikmati akting aktor terbaik dunia ,0,1,0
01/05/2019 14:11,pursuit,RohmanNisfi, the pursuit of happyness 2006 will smith dlm salah satu akting terbaiknya perjuangan mencari pekerjaan sembari mengurus anaknya chemistry terbaik didapat will dan jaden smith quote terbaik waktu ia melobi jajaran perusahaan alasan kenapa ia pantas bekerja di tempat tsb,0,1,0
08/02/2019 20:36,pursuit,MovimaxDinoyo,akting liam neeson udah tidak perlu diragukan lagi kali ini di film cold pursuit dia berperan seorang ayah yang membalaskan dendam anaknya yang telah dibunuh jaringan kartel narkoba saksikan film ini mulai 15 februari di bioskop movimax malang ,0,1,0
18/07/2017 09:54,pursuit,ebcdewi,tiap nonton the pursuit of happyness selalu mewek2 sedih terharu apalagi akting si jayden ,1,1,0
06/01/2015 10:19,pursuit,hampirpunah,the pursuit of happyness lucu aja liat si jaden smith kecil kecil udah jago akting d,0,1,0
